Acc. No.,Tree No.,Site name,Site abb.,Latitude,Longitude,Elevation (m),Days to germ
573,11,SEDGWICK RESERVE,SW,34.68844,-120.03652,326,82
571,4,SEDGWICK RESERVE,SW,34.68625,-120.03488,320,61
118,6,"Cordon Ridge, 1200 m",CR12,35.00539,-118.66588,1241,110
114,12,"Cordon Ridge, 1200 m",CR12,35.00578,-118.66718,1226,89
368,12,Merced River,MER,37.52352,-120.32126,115,96
375,11,Merced River,MER,37.51723,-120.37267,88,103
276,12,HOLLISTER HILLS,HH,36.77506,-121.40727,221,96
272,12,HOLLISTER HILLS,HH,36.77815,-121.40269,192,82
209,4,FORT HUNTER LIGGETT,FHL,35.98026,-121.23441,301,54
207,8,FORT HUNTER LIGGETT,FHL,35.97922,-121.23432,299,89
610,14,Tehachapi,TAC,35.11596,-118.48901,1279,96
615,4,Tehachapi,TAC,35.11386,-118.48926,1292,75
5,6,Alhambra,ALH,37.96534,-122.17293,146,82
7,13,Alhambra,ALH,37.96547,-122.19386,142,110
278,6,HUASNA VALLEY NEAR ARROYO GRANDE,HUA,35.10591,-120.38777,228,96
320,10,Laytonville,LAY,39.74600,-123.52422,457,110
324,10,Laytonville,LAY,39.65133,-123.48377,509,82
432,3,Mt. Hamilton Mid,HAMm,37.32615,-121.67009,665,103
429,8,Mt. Hamilton Mid,HAMm,37.32409,-121.66875,649,89
390,12,Middle Creek CG,MCK,39.24419,-122.94749,440,89
389,6,Middle Creek CG,MCK,39.24500,-122.94808,441,69
147,3,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,82
145,14,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,145
162,8,COTTONWOOD CANYON ROAD,COT,34.99233,-119.88839,613,103
164,8,COTTONWOOD CANYON ROAD,COT,34.99022,-119.88841,624,96
334,10,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78807,-120.95192,320,61
329,6,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78784,-120.93893,279,89
604,4,Sunol,SUN,37.59870,-121.87510,82,54
606,7,Sunol,SUN,37.60355,-121.87331,81,82
295,9,Island,ISL,36.34470,-119.82507,60,69
299,5,Island,ISL,36.35385,-119.83384,64,75
645,6,Williams,WIL,39.00442,-122.35487,320,69
579,12,Sonora,SON,37.95725,-120.42442,440,103
581,13,Sonora,SON,37.97928,-120.38844,529,69
127,2,"Cordon Ridge, 1750 m",CR17,34.98790,-118.61992,1766,89
315,5,Kaweah,KAW,36.33599,-119.17092,119,82
90,12,Chico,CHI,39.71188,-121.78548,85,late germ
87,1,Chico,CHI,39.71186,-121.78416,78,82
661,11,Woodson Bridge SRA/Tehama CP,WOO,39.91081,-122.08992,57,10
658,8,Woodson Bridge SRA/Tehama CP,WOO,39.91040,-122.09136,54,110
182,15,Diamond Springs,DIA,38.71003,-120.81216,508,96
183,5,Diamond Springs,DIA,38.70850,-120.81227,500,61
651,2,Willits,WLT,39.41143,-123.34687,416,82
650,1,Willits,WLT,39.41081,-123.34682,418,69
374,10,Merced River,MER,37.51664,-120.36272,90,124
372,12,Merced River,MER,37.51672,-120.36083,91,110
275,1,HOLLISTER HILLS,HH,36.77595,-121.40640,223,54
273,2,HOLLISTER HILLS,HH,36.77872,-121.40139,194,49
208,5,FORT HUNTER LIGGETT,FHL,35.97922,-121.23337,298,54
213,3,FORT HUNTER LIGGETT,FHL,35.97662,-121.23687,315,61
612,9,Tehachapi,TAC,35.11866,-118.48600,1259,96
608,8,Tehachapi,TAC (Teh?),35.11713,-118.48862,1268,89
1,9,Alhambra,ALH,37.96990,-122.16970,176,82
6,6,Alhambra,ALH,37.96543,-122.19367,146,61
445,6,Nicolaus,NIC,38.88178,-121.60592,11,54
444,7,Nicolaus,NIC,38.88139,-121.60609,11,69
319,14,Laytonville,LAY,39.68850,-123.48817,493,103
326,6,Laytonville,LAY,39.65136,-123.48235,510,82
430,1,Mt. Hamilton Mid,HAMm,37.32642,-121.66903,688,82
431,8,Mt. Hamilton Mid,HAMm,37.32615,-121.67009,665,138
387,5,Middle Creek CG,MCK,39.25372,-122.95055,444,82
386,11,Middle Creek CG,MCK,39.25364,-122.95068,444,103
146,1,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,103
144,7,Cosumnes River Preserve,CRP,38.26244,-121.43118,7,82
158,8,COTTONWOOD CANYON ROAD,COT,34.99212,-119.88892,631,82
163,1,COTTONWOOD CANYON ROAD,COT,34.99132,-119.88766,613,61
327,6,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78473,-120.96921,341,82
333,6,"LYNCH CANYON ROAD, LAKE NACIMIENTO",LYN,35.78870,-120.95062,319,49
600,7,Sunol,SUN,37.60109,-121.87374,81,103
601,16,Sunol,SUN,37.60099,-121.87363,81,89
341,10,Madera Transect,MAD,36.96899,-119.24723,601,75
336,3,Madera Transect,MAD,36.97169,-119.36787,586,69
593,4,Sugarloaf Ridge area,SUG,38.43304,-122.55359,169,75
597,2,Sugarloaf Ridge area,SUG,38.42008,-122.55209,149,49
577,12,Sonora,SON,37.95635,-120.42282,438,96
578,2,Sonora,SON,37.95644,-120.42265,437,82
620,12,Tin Barn Rd,TIN,38.61844,-123.26057,289,75
617,10,Tin Barn Rd,TIN,38.61783,-123.26137,279,89
474,4,Patterson,PAT,37.49286,-121.08331,19,82
475,11,Patterson,PAT,37.49586,-121.06629,26,89
473,10,Patterson,PAT,37.49353,-121.08161,18,75
11,8,Angels Camp (a.k.a 102),ANG,38.05197,-120.62457,445,131
13,10,Angels Camp (a.k.a 102),ANG,38.05104,-120.62301,448,110
180,2,Diamond Springs,DIA,38.71357,-120.81122,539,61
179,10,Diamond Springs,DIA,38.71380,-120.81155,542,103
655,11,Willits,WLT,39.38292,-123.34292,431,103
652,13,Willits,WLT,39.38401,-123.34169,434,110
140,4,"Cordon Ridge, 900 m",CR9,35.00481,-118.69210,930,69
141,3,"Cordon Ridge, 900 m",CR9,35.00425,-118.69169,930,117
249,2,Healdsburg,HEA,38.61418,-122.82966,37,54
247,16,Healdsburg,HEA,38.61356,-122.82802,67,96
256,3,Henry Coe area,COE,37.07872,-121.46686,264,82
255,3,Henry Coe area,COE,37.07865,-121.46698,263,54
217,4,Fort Tejon State Park,FT,34.87443,-118.89521,977,82
220,3,Fort Tejon State Park,FT,34.87311,-118.89350,972,75
28,9,Bellota,BEL,38.05196,-121.01424,59,96
34,7,Bellota,BEL,38.05138,-121.01119,45,61
446,6,Nicolaus,NIC,38.88123,-121.60262,12,89
440,11,Nicolaus,NIC,38.88647,-121.59447,9,89
202,8,Folsom,FOL,38.63316,-121.21493,50,75
205,9,Folsom,FOL,38.63287,-121.21438,62,75
482,5,Paynes Creek,PAY,40.31253,-121.99419,317,75
478,9,Paynes Creek,PAY,40.31395,-122.07048,193,117
363,8,McLaughlin,MCL,38.86992,-122.42120,637,96
367,12,McLaughlin,MCL,38.87033,-122.42417,639,110
309,5,Jasper Ridge,JAS,37.40536,-122.23953,121,75
306,16,Jasper Ridge,JAS,37.40317,-122.24360,123,145
513,11,Platina,PLA,40.31919,-122.78493,460,69
509,9,Platina,PLA,40.28982,-122.61132,224,89
419,8,Mountain Ranch (a.k.a. 101),MTR,38.27252,-120.50473,718,89
416,16,Mountain Ranch (a.k.a. 101),MTR,38.27729,-120.50703,746,131
457,3,Oak Grove,OKG,38.05709,-121.36305,-3,54
453,5,Oak Grove,OKG,38.05627,-121.36478,-6,82
335,3,Madera Transect,MAD,36.97174,-119.36790,582,69
338,15,Madera Transect,MAD,36.97367,-119.36785,581,82
598,9,Sugarloaf Ridge area,SUG,38.41886,-122.55145,146,103
596,6,Sugarloaf Ridge area,SUG,38.42327,-122.55633,155,75
451,6,Novato,NOV,38.08725,-122.59093,48,75
450,6,Novato,NOV,38.08614,-122.59032,43,late germ
621,4,Tin Barn Rd,TIN,38.62032,-123.25425,328,75
619,12,Tin Barn Rd,TIN,38.61872,-123.26083,285,82
284,1,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.78269,-120.68856,225,54
287,14,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.81006,-120.67004,286,82
668,7,York Mountain Road ,YORK,35.55151,-120.77808,283,82
671,3,York Mountain Road ,YORK,35.54896,-120.78661,281,75
15,4,Angels Camp (a.k.a 102),ANG,38.08537,-120.56381,477,89
10,11,Angels Camp (a.k.a 102),ANG,38.05320,-120.62196,452,117
178,9,Diamond Springs,DIA,38.71397,-120.81155,543,82
185,4,Diamond Springs,DIA,38.70877,-120.81239,503,61
654,12,Willits,WLT,39.38618,-123.34067,431,89
653,3,Willits,WLT,39.38390,-123.34167,432,82
139,15,"Cordon Ridge, 900 m",CR9,35.00505,-118.69239,917,82
138,3,"Cordon Ridge, 900 m",CR9,35.00508,-118.69288,906,96
250,13,Healdsburg,HEA,38.61988,-122.82561,62,49
253,2,Healdsburg,HEA,38.61300,-122.83650,53,49
254,15,Henry Coe area,COE,37.07253,-121.47559,254,82
259,7,Henry Coe area,COE,37.08070,-121.46821,264,89
215,2,Fort Tejon State Park,FT,34.87472,-118.89387,972,96
221,10,Fort Tejon State Park,FT,34.87413,-118.89376,973,75
33,3,Bellota,BEL,38.05077,-121.01207,44,54
31,11,Bellota,BEL,38.05981,-121.01448,50,75
443,4,Nicolaus,NIC,38.88151,-121.60574,8,69
441,9,Nicolaus,NIC,38.88058,-121.58151,7,61
200,2,Folsom,FOL,38.63413,-121.23634,35,75
204,6,Folsom,FOL,38.63335,-121.21446,45,75
480,1,Paynes Creek,PAY,40.31465,-122.06873,190,75
479,15,Paynes Creek,PAY,40.31443,-122.06976,192,103
361,1,McLaughlin,MCL,38.87354,-122.42544,641,75
362,3,McLaughlin,MCL,38.87170,-122.42196,645,82
303,16,Jasper Ridge,JAS,37.40427,-122.24041,117,110
307,1,Jasper Ridge,JAS,37.40614,-122.24220,130,75
508,7,Platina,PLA,40.28987,-122.60182,220,96
514,3,Platina,PLA,40.31926,-122.78510,459,61
418,1,Mountain Ranch (a.k.a. 101),MTR,38.27504,-120.50581,730,75
422,6,Mountain Ranch (a.k.a. 101),MTR,38.26659,-120.50238,676,89
460,7,Oak Grove,OKG,38.05566,-121.36263,-2,61
458,7,Oak Grove,OKG,38.05582,-121.36349,-3,75
342,14,Madera Transect,MAD,36.96870,-119.24771,607,103
343,7,Madera Transect,MAD,36.96898,-119.24734,605,124
594,12,Sugarloaf Ridge area,SUG,38.42370,-122.55438,156,69
595,5,Sugarloaf Ridge area,SUG,38.42324,-122.55631,156,69
447,5,Novato,NOV,38.10754,-122.57954,8,117
448,3,Novato,NOV,38.10773,-122.57983,9,96
618,4,Tin Barn Rd,TIN,38.61869,-123.26101,284,61
616,10,Tin Barn Rd,TIN,38.61683,-123.26316,289,103
286,15,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.80846,-120.67199,289,131
288,15,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.81143,-120.66812,284,110
669,13,York Mountain Road ,YORK,35.55177,-120.77532,272,96
667,12,York Mountain Road ,YORK,35.55230,-120.77992,285,110
9,1,Angels Camp (a.k.a 102),ANG,38.05775,-120.62022,454,69
12,2,Angels Camp (a.k.a 102),ANG,38.05101,-120.62324,448,124
184,15,Diamond Springs,DIA,38.70866,-120.81216,499,82
181,11,Diamond Springs,DIA,38.71424,-120.81170,546,103
656,6,Willits,WLT,39.38100,-123.34228,425,75
137,7,"Cordon Ridge, 900 m",CR9,35.00495,-118.69306,905,89
142,11,"Cordon Ridge, 900 m",CR9,35.00485,-118.69115,946,82
246,3,Healdsburg,HEA,38.61366,-122.82761,68,69
252,5,Healdsburg,HEA,38.61236,-122.83163,54,75
258,5,Henry Coe area,COE,37.08118,-121.46841,267,69
260,5,Henry Coe area,COE,37.08237,-121.46968,273,61
218,11,Fort Tejon State Park,FT,34.87377,-118.89568,980,75
214,3,Fort Tejon State Park,FT,34.87458,-118.89292,973,82
32,1,Bellota,BEL,38.05064,-121.01234,48,54
30,5,Bellota,BEL,38.05098,-121.01411,56,49
439,11,Nicolaus,NIC,38.88670,-121.59470,11,103
198,1,Folsom,FOL,38.65401,-121.20925,50,75
201,14,Folsom,FOL,38.63376,-121.21562,48,82
481,10,Paynes Creek,PAY,40.31295,-121.99838,316,82
476,12,Paynes Creek,PAY,40.30689,-122.08433,184,103
360,7,McLaughlin,MCL,38.87351,-122.42492,620,82
364,4,McLaughlin,MCL,38.86956,-122.42264,638,69
305,10,Jasper Ridge,JAS,37.40496,-122.24105,124,96
308,11,Jasper Ridge,JAS,37.40400,-122.23984,115,82
510,15,Platina,PLA,40.29992,-122.69159,278,103
511,7,Platina,PLA,40.31795,-122.78255,454,61
420,9,Mountain Ranch (a.k.a. 101),MTR,38.27146,-120.50459,710,82
423,6,Mountain Ranch (a.k.a. 101),MTR,38.26685,-120.49714,694,89
455,2,Oak Grove,OKG,38.05660,-121.36429,-6,69
456,10,Oak Grove,OKG,38.05616,-121.36335,-4,96
340,9,Madera Transect,MAD,36.96933,-119.24700,597,82
339,7,Madera Transect,MAD,36.97432,-119.36779,581,96
599,4,Sugarloaf Ridge area,SUG,38.41887,-122.55143,145,89
449,3,Novato,NOV,38.11274,-122.56886,6,82
452,6,Novato,NOV,38.08955,-122.59269,53,82
471,11,Oneals=Oakhurst,OAK,37.33256,-119.65646,699,89
472,1,Oneals=Oakhurst,OAK,37.33840,-119.65725,712,69
282,12,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77833,-120.69300,224,131
289,11,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77844,-120.69317,201,82
666,2,York Mountain Road ,YORK,35.55196,-120.77879,284,82
665,1,York Mountain Road ,YORK,35.55022,-120.79166,253,75
14,13,Angels Camp (a.k.a 102),ANG,38.06791,-120.59639,396,late germ
293,6,Ione,ION,38.31967,-120.97877,64,110
290,3,Ione,ION,38.32166,-120.97872,67,82
291,5,Ione,ION,38.32155,-120.97872,66,82
143,7,"Cordon Ridge, 900 m",CR9,35.00490,-118.69094,955,69
251,7,Healdsburg,HEA,38.61270,-122.82998,50,61
248,3,Healdsburg,HEA,38.61417,-122.82976,47,54
261,1,Henry Coe area,COE,37.09570,-121.46964,283,82
257,1,Henry Coe area,COE,37.08028,-121.46790,266,49
216,6,Fort Tejon State Park,FT,34.87452,-118.89458,972,82
219,13,Fort Tejon State Park,FT,34.87317,-118.89433,975,117
27,4,Bellota,BEL,38.05424,-121.01402,68,82
29,1,Bellota,BEL,38.05210,-121.01408,57,69
547,4,Round Valley,ROV,39.74828,-123.24841,438,69
551,4,Round Valley,ROV,39.75859,-123.23914,427,61
199,9,Folsom,FOL,38.63540,-121.23470,31,89
203,5,Folsom,FOL,38.63329,-121.21475,35,54
477,7,Paynes Creek,PAY,40.30678,-122.08433,184,82
483,1,Paynes Creek,PAY,40.31264,-121.99435,316,69
366,10,McLaughlin,MCL,38.87017,-122.42335,639,82
365,5,McLaughlin,MCL,38.86998,-122.42288,638,75
304,14,Jasper Ridge,JAS,37.40382,-122.24118,125,131
302,14,Jasper Ridge,JAS,37.40564,-122.23970,115,117
512,12,Platina,PLA,40.31898,-122.78387,459,89
417,11,Mountain Ranch (a.k.a. 101),MTR,38.27539,-120.50611,734,117
421,1,Mountain Ranch (a.k.a. 101),MTR,38.26668,-120.50298,678,61
459,10,Oak Grove,OKG,38.05551,-121.36244,-3,145
337,3,Madera Transect,MAD,36.97218,-119.36828,588,69
463,4,Ojai,OJAI,34.45443,-119.23152,245,82
462,9,Ojai,OJAI,34.44140,-119.24530,230,82
464,5,Ojai,OJAI,34.44401,-119.22274,241,75
469,10,Oneals=Oakhurst,OAK,37.26360,-119.69044,674,75
470,6,Oneals=Oakhurst,OAK,37.27174,-119.66890,744,69
283,2,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.77914,-120.69231,222,82
285,1,"INDIAN VALLEY AREA, VINEYARD ROAD",IVA,35.78423,-120.68629,227,96
672,4,York Mountain Road ,YORK,35.55676,-120.77053,297,82
670,16,York Mountain Road ,YORK,35.54924,-120.78675,282,82
196,10,Dunlap,DUN,36.74155,-119.13927,556,75
195,7,Dunlap,DUN,36.74229,-119.14274,558,61
399,7,Middletown,MDT,38.75914,-122.60471,334,75
397,9,Middletown,MDT,38.76043,-122.60333,332,69
522,9,Red Bluff,RED,40.14780,-122.13824,66,82
523,14,Red Bluff,RED,40.12669,-122.12164,65,82
84,7,Chews Ridge,CHW,36.31253,-121.57212,1492,89
78,8,Chews Ridge,CHW,36.34520,-121.58087,1045,89
76,2,Chesebro,CHE,34.16449,-118.72383,328,103
73,3,Chesebro,CHE,34.16084,-118.72587,328,49
95,7,Clearlake Oaks,CLO,39.02187,-122.71349,401,69
93,6,Clearlake Oaks,CLO,39.02124,-122.71125,399,82
639,5,"White Rock, PARADISE RD",WR,24.54112,-119.80884,288,75
638,10,"White Rock, PARADISE RD",WR,34.54162,-119.80836,285,89
535,6,Redding,RDD,40.61095,-122.34620,176,82
530,15,Redding,RDD,40.57021,-122.37802,146,124
550,14,Round Valley,ROV,39.75863,-123.24069,428,89
548,9,Round Valley,ROV,39.75122,-123.24845,435,89
102,12,Cloverdale,CVD,38.85947,-123.03747,125,103
101,15,Cloverdale,CVD,38.85847,-123.03728,128,82
626,3,Ukiah,UKI,39.07946,-123.21592,215,89
623,1,Ukiah,UKI,39.10214,-123.20450,174,49
356,2,Mariposa,MAR,37.45846,-119.90099,702,49
353,6,Mariposa,MAR,37.46111,-119.87971,672,96
564,2,SANTA MARGARITA,SMAR,35.34739,-120.53631,347,75
563,13,SANTA MARGARITA,SMAR,35.35170,-120.53426,357,103
401,10,Monticello Dam,MOD,38.51530,-122.08376,60,96
403,10,Monticello Dam,MOD,38.51480,-122.07794,57,61
411,1,Morgan Hill,MOH,37.14801,-121.69319,109,75
415,3,Morgan Hill,MOH,37.12977,-121.70248,159,61
516,10,Princeton,PRI,39.45519,-122.01717,41,89
520,8,Princeton,PRI,39.46143,-122.01841,28,89
16,1,Bakersfield Natl Cemetary,BNC,35.25503,-118.67350,603,75
21,4,Bakersfield Natl Cemetary,BNC,35.25539,-118.66801,598,82
229,4,George J Hatfield SRA,HAT,37.35149,-120.95962,17,69
225,6,George J Hatfield SRA,HAT,37.35170,-120.96173,18,61
53,10,Carrissa Highway & E. Pozo Rd,PO,35.38076,-120.18690,491,75
48,8,Carrissa Highway & E. Pozo Rd,PO,35.38577,-120.16900,473,82
230,2,Gravelly Valley,GRV,39.42741,-123.01550,814,82
236,12,Gravelly Valley,GRV,39.44848,-122.96397,557,82
61,2,Caswell Memorial SP,CAS,37.69425,-121.18423,11,61
55,11,Caswell Memorial SP,CAS,37.70627,-121.17850,34,75
492,2,Penn Valley,PEN,39.20405,-121.17821,428,75
493,8,Penn Valley,PEN,39.20380,-121.17965,427,96
193,1,Dunlap,DUN,36.74261,-119.14357,563,75
190,3,Dunlap,DUN,36.74545,-119.16129,523,69
395,10,Middletown,MDT,38.76061,-122.60471,332,75
398,9,Middletown,MDT,38.75858,-122.60500,335,75
527,6,Red Bluff,RED,40.08522,-122.17328,84,96
525,7,Red Bluff,RED,40.15633,-122.20159,78,69
82,11,Chews Ridge,CHW,36.34082,-121.58023,1096,69
79,8,Chews Ridge,CHW,36.34445,-121.58033,1058,117
74,15,Chesebro,CHE,34.16026,-118.72589,325,96
71,1,Chesebro,CHE,34.15641,-118.73070,294,61
97,8,Clearlake Oaks,CLO,39.02186,-122.71461,400,69
94,9,Clearlake Oaks,CLO,39.02147,-122.71146,399,82
640,7,"White Rock, PARADISE RD",WR,34.54087,-119.80856,285,69
643,3,"White Rock, PARADISE RD",WR,34.54197,-119.80749,285,61
536,4,Redding,RDD,40.61141,-122.34624,175,96
534,4,Redding,RDD,40.61261,-122.34828,179,75
549,1,Round Valley,ROV,39.75858,-123.24104,430,61
552,4,Round Valley,ROV,39.75847,-123.23589,425,82
103,7,Cloverdale,CVD,38.85966,-123.03751,125,54
98,1,Cloverdale,CVD,38.82267,-123.01930,118,61
627,3,Ukiah,UKI,39.09243,-123.21973,196,61
625,16,Ukiah,UKI,39.07930,-123.21585,213,124
359,12,Mariposa,MAR,37.45873,-119.89994,693,89
355,10,Mariposa,MAR,37.45851,-119.90107,703,96
561,12,SANTA MARGARITA,SMAR,,,,103
566,13,SANTA MARGARITA,SMAR,35.35508,-120.54007,346,75
402,14,Monticello Dam,MOD,38.51506,-122.08321,57,145
405,4,Monticello Dam,MOD,38.51455,-122.07815,55,96
413,3,Morgan Hill,MOH,37.13591,-121.70014,172,69
414,4,Morgan Hill,MOH,37.12965,-121.70267,159,82
515,2,Princeton,PRI,39.37680,-122.01999,34,82
518,5,Princeton,PRI,39.45728,-122.02053,32,61
22,11,Bakersfield Natl Cemetary,BNC,35.25439,-118.66648,608,82
20,3,Bakersfield Natl Cemetary,BNC,35.25663,-118.66744,592,75
223,11,George J Hatfield SRA,HAT,37.34638,-120.94698,19,82
224,6,George J Hatfield SRA,HAT,37.34638,-120.94753,17,49
51,11,Carrissa Highway & E. Pozo Rd,PO,35.38519,-120.17553,480,89
54,9,Carrissa Highway & E. Pozo Rd,PO,35.38610,-120.16743,469,69
233,14,Gravelly Valley,GRV,39.44881,-122.96497,555,103
231,11,Gravelly Valley,GRV,39.43016,-122.97538,550,103
59,3,Caswell Memorial SP,CAS,37.69561,-121.18295,18,54
56,8,Caswell Memorial SP,CAS,37.70553,-121.17966,28,82
495,1,Penn Valley,PEN,39.20430,-121.19053,420,82
498,6,Penn Valley,PEN,39.20205,-121.18857,421,89
197,3,Dunlap,DUN,36.74153,-119.13903,556,75
